vendor,model,type,protocol,port,url
3g Ipcam,002a,MJPEG,http,0,/videostream.cgi?usr=[USERNAME]&pwd=[PASSWORD]
3g Ipcam,sricam-sp004,MJPEG,http,0,/videostream.cgi?usr=[USERNAME]&pwd=[PASSWORD]
3g Ipcam,v380,JPEG,http,0,/cgi-bin/snapshot.cgi?loginuse=[USERNAME]&loginpas=[PASSWORD]
3g Ipcam,ipc-hfw2231r-zs-ire6,JPEG,http,0,/cgi-bin/snapshot.cgi?loginuse=[USERNAME]&loginpas=[PASSWORD]
3g Ipcam,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
3g Ipcam,*,JPEG,http,0,/cgi-bin/snapshot.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
3g Ipcam,1234,FFMPEG,rtsp,5544,/11
3g Ipcam,c6f0sez0n0p0l0,FFMPEG,rtsp,5544,/11
3g Ipcam,c6f0sfz3nop5l0,FFMPEG,rtsp,5544,/11
3g Ipcam,c6f0sgz0n0p3l0,FFMPEG,rtsp,5544,/11
3g Ipcam,c6f0sgz3n0p6l2,FFMPEG,rtsp,5544,/11
3g Ipcam,c6f0siz3n0p0l0,FFMPEG,rtsp,5544,/11
3g Ipcam,c6f0soz3n0pcl2,FFMPEG,rtsp,5544,/11
3g Ipcam,c9f0sez0n0p4l0,FFMPEG,rtsp,5544,/11
3g Ipcam,c9f0sgz0n0p2l1,FFMPEG,rtsp,5544,/11
3g Ipcam,c9f0sgz3np8l0,FFMPEG,rtsp,5544,/11
3g Ipcam,2016w,FFMPEG,http,0,/videostream.asf?usr=[USERNAME]&pwd=[PASSWORD]
3g Ipcam,2018,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]*[HEIGHT]
3g Ipcam,3245,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,328,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,3285,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,3289,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,454,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,4556,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,546577,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,b987w,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,bm16,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,c6f0sfz0n0p3l0,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,ct0276whuk,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,fd7902,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,sr1,JPEG,http,0,/tmpfs/auto.jpg
3g Ipcam,355566,JPEG,http,0,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]&strm=[CHANNEL]
3g Ipcam,x6130,JPEG,http,0,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]&strm=[CHANNEL]
3g Ipcam,c6f0soz3n0pdl2,FFMPEG,rtsp,554,/stream_0
3g Ipcam,c9f0sez0n0p7l0,FFMPEG,rtsp,554,/1/h264major
3g Ipcam,556,FFMPEG,rtsp,0,/ch0_0.264
3g Ipcam,c6f0soz3n0p9l2,FFMPEG,rtsp,0,/ch0_0.264
3g Ipcam,590,VLC,http,0,/iphone/11?[USERNAME]:[PASSWORD]&
3g Ipcam,unknown,JPEG,http,80,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]&strm=2
3g Ipcam,*,JPEG,http,80,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]&strm=0
3g Ipcam,*,JPEG,http,80,/snapshot.jpg
3g Ipcam,*,JPEG,http,0,/snap.jpg?JpegCam=[CHANNEL]
3g Ipcam,ppcn060874fegnw,JPEG,http,0,/img/snapshot.cgi?size=2
3g Ipcam,*,FFMPEG,rtsp,0,/1
3g Ipcam,ipc701939,FFMPEG,rtsp,0,/onvif1
3g Ipcam,ipc720,JPEG,http,80,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]
3g Ipcam,*,VLC,mms,0,/img/video.asf
3g Ipcam,*,VLC,rtsp,0,/live/ch00_0
3g Ipcam,*,MJPEG,http,10554,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
3g Ipcam,*,VLC,rtsp,0,/cam[CHANNEL]/h264
3g Ipcam,*,MJPEG,http,0,/videostream.cgi?rate=11
3g Ipcam,*,MJPEG,http,0,/videofeed
3g Ipcam,nexht360,VLC,rtsp,1935,/cam/realmonitor?channel=1&subtype=00&authbasic=[AUTH]
3g Ipcam,*,MJPEG,http,0,/live?camera=[CHANNEL]&fps=5&quality=75&resolution=[WIDTH]x[HEIGHT]
3g Ipcam,*,MJPEG,http,0,/video.cgi?resolution=VGA
3g Ipcam,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
3g Ipcam,*,MJPEG,http,0,/videostream.cgi?rate=0&user=[USERNAME]&pwd=[PASSWORD]
3g Ipcam,*,MJPEG,http,0,/video?submenu=mjpg
3g Ipcam,*,JPEG,http,0,/image.jpg
3g Ipcam,*,MJPEG,http,0,/video.mjpg?q=30&fps=33&id=0.5
3g Ipcam,*,MJPEG,http,0,/videostream.cgi?
3g Ipcam,*,MJPEG,http,0,/api/mjpegvideo.cgi?InputNumber=1&StreamNumber=[CHANNEL]
3g Ipcam,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=64&rate=0
3g Ipcam,rc8025,JPEG,http,0,/img/snapshot.cgi?size=3
3g Ipcam,scricam-ap004,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
3g Ipcam,sricam-ap006,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
3g Ipcam,k1350,FFMPEG,http,80,/videostream.cgi?usr=[USERNAME]&pwd=
3g Ipcam,qc3-h,FFMPEG,rtsp,10554,/tcp/av0_0
3g Ipcam,qc3,FFMPEG,rtsp,10554,/tcp/av0_0
360 Eye,unknown,FFMPEG,rtsp,5544,/0
360 Eye,ec107-b3y2,VLC,rtsp,1935,/LowResolutionVideo
360 Eye,ec73-n13,VLC,rtsp,1935,/LowResolutionVideo
360 Eye,ec101-x15,FFMPEG,rtsp,554,/cam/realmonitor?channel=[CHANNEL]&subtype=1
360 Eye,ec76,FFMPEG,rtsp,554,/cam/realmonitor?channel=[CHANNEL]&subtype=1
360 Eye,ec76-u15,FFMPEG,rtsp,554,/cam/realmonitor?channel=[CHANNEL]&subtype=1
360 Eye,ipc365,FFMPEG,rtsp,554,/cam/realmonitor?channel=[CHANNEL]&subtype=1
360 Eye,ec129-x15,FFMPEG,rtsp,554,/cam/realmonitor?channel=0&subtype=1
360 Eye,ec101-b3y2,FFMPEG,rtsp,554,/cam/realmonitor?channel=0&subtype=1
360 Eye,ec101y-b3y10,FFMPEG,rtsp,554,/cam/realmonitor?channel=0&subtype=1
360 Eye,ec107-x15,FFMPEG,rtsp,554,/cam/realmonitor?channel=0&subtype=1
360 Eye,ec37,FFMPEG,rtsp,554,/cam/realmonitor?channel=0&subtype=1
360 Eye,ec73-v13,FFMPEG,rtsp,554,/cam/realmonitor?channel=0&subtype=1
360 Eye,pw2k2n06e-gtwy,FFMPEG,rtsp,554,/cam/realmonitor?channel=0&subtype=1
360 Eye,*,VLC,rtsp,0,/live_mpeg4.sdp
360 Eye,603,JPEG,http,0,/tmpfs/auto.jpg
360 Eye,v380,JPEG,http,0,/tmpfs/auto.jpg
360 Eye,e101-b3y2,VLC,rtsp,1935,/ch0_0.h264
360 Eye,ec137y-b3y2,VLC,rtsp,1935,/ch0_0.h264
360 Eye,ec107y-b3y10,FFMPEG,rtsp,554,/cam/realmonitor
360 Eye,ec38,FFMPEG,rtsp,554,/cam/realmonitor
360 Eye,ec76-x15,FFMPEG,rtsp,554,/live/ch00_0
360 Eye,ec80-v13,FFMPEG,rtsp,554,/live/ch00_0
360 Eye,ec80-x15,FFMPEG,rtsp,554,/live/ch00_0
360 Eye,epc101,FFMPEG,rtsp,554,/live/ch00_0
360 Eye,i360,FFMPEG,rtsp,554,/live/ch00_0
360 Eye,ec132-x15,FFMPEG,rtsp,554,/cam/realmonitor?channel=8080&subtype=1
360 Eye,*,FFMPEG,mms,554,/img/video.asf
360 Eye,*,FFMPEG,rtsp,554,/cam/realmonitor?channel=1&subtype=00&authbasic=[AUTH]
360 Eye,pw2l2a06a-gty,FFMPEG,rtsp,554,/cam/realmonitor?channel=1&subtype=1
360 Eye,ec137-x15,FFMPEG,rtsp,554,/realmonitor?channel=0&stream=0.sdp
360 Eye,xm80-8mp,FFMPEG,rtsp,554,/realmonitor?channel=0&stream=0.sdp
360 Eye,sl-cam,FFMPEG,rtsp,554,/onvif1
360 Eye,y335,FFMPEG,rtsp,554,/onvif1
360 Eye,*,FFMPEG,rtsp,5544,/11
3xlogic,unknown,FFMPEG,rtsp,554,/
3xlogic,*,JPEG,http,0,/cgi-bin/guest/Video.cgi?media=JPEG&channel=[CHANNEL]
3xlogic,cmc-3mp-od-i,FFMPEG,rtsp,554,/Streaming/Channels/1
3xlogic,vsx-2mp-mvd40,FFMPEG,rtsp,554,/Streaming/Channels/1
3xlogic,vx-3p28-od-i,FFMPEG,rtsp,554,/Streaming/Channels/1
3xlogic,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=64&rate=0
3xlogic,*,JPEG,http,0,/cgi-bin/snapshot.cgi?loginuse=[USERNAME]&loginpas=[PASSWORD]
3xlogic,*,JPEG,http,0,/jpg/1/image.jpg
3xlogic,*,MJPEG,http,0,/videofeed
3xlogic,*,MJPEG,http,0,/videostream.cgi?
3xlogic,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
3xlogic,*,VLC,http,0,/cgi-bin/view.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
3xlogic,vx-3p28-md-ia,VLC,rtsp,0,/ch0_0.h264
3xlogic,sn-2s-cpir-w-pgi,VLC,rtsp,0,/ch0_0.h264
3xlogic,*,MJPEG,http,0,/videostream.cgi?rate=0&user=[USERNAME]&pwd=[PASSWORD]
3xlogic,*,JPEG,http,0,/img/snapshot.cgi?size=3
3xlogic,*,JPEG,http,0,/live?camera=[CHANNEL]&quality=75&resolution=[WIDTH]x[HEIGHT]
3xlogic,*,JPEG,http,0,/live?camera=[USERNAME]&quality=75&resolution=[PASSWORD]
3xlogic,*,MJPEG,http,0,/live?camera=[USERNAME]&quality=75&fps=5&resolution=[PASSWORD]
3xlogic,*,MJPEG,http,0,/live?camera=[CHANNEL]&fps=5&quality=75&resolution=[WIDTH]x[HEIGHT]
3xlogic,vsx-2m-d,FFMPEG,rtsp,0,/video.h264
3xlogic,vx-6m-360-ia6,FFMPEG,rtsp,0,/video.h264
3xlogic,vsx-2mp-d,VLC,rtsp,0,/live/mpeg4
3xlogic,vx-3pv-b-i,VLC,rtsp,0,/live/mpeg4
3xlogic,vx-4s28-md-i,VLC,rtsp,0,/live/mpeg4
3xlogic,*,MJPEG,http,0,/img/video.mjpeg
3xlogic,vx-3m-f-awd,FFMPEG,rtsp,555,/11
3xlogic,vx-3m-od2-riawd,FFMPEG,rtsp,555,/11
3xlogic,*,FFMPEG,rtsp,554,/stream0
3xlogic,*,FFMPEG,rtsp,554,/cam/realmonitor?channel=1&subtype=00&authbasic=[AUTH]
3svision,n3011,FFMPEG,rtsp,0,/cam1/onvif-h264
3svision,n6078,FFMPEG,rtsp,0,/cam1/onvif-h264
3svision,n6079,FFMPEG,rtsp,0,/cam1/onvif-h264
3svision,n3071,FFMPEG,rtsp,554,/cam1/onvif-h264-1
3svision,n9071,FFMPEG,rtsp,554,/cam1/onvif-h264-1
3svision,n3072,JPEG,http,0,/image.jpg
3svision,n6013,MJPEG,http,80,/axis-cgi/mjpg/video.cgi
3svision,n6071,MJPEG,http,80,/axis-cgi/mjpg/video.cgi
3svision,n8072,MJPEG,http,80,/axis-cgi/mjpg/video.cgi
3svision,n6076,FFMPEG,rtsp,554,/11
3svision,*,JPEG,http,0,/image/[CHANNEL].jpg
3svision,*,VLC,rtsp,0,/cam[CHANNEL]/h264
3svision,n9073,MJPEG,http,0,/axis-cgi/mjpg/video.cgi?date=1&clock=1&camera=[CHANNEL]&resolution=[WIDTH]x[HEIGHT]
3svision,unknown,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=64&rate=0
3svision,*,JPEG,http,0,/snap.jpg?JpegCam=[CHANNEL]
3svision,*,JPEG,http,0,/img/snapshot.cgi?size=2
3svision,*,JPEG,http,0,/cgi-bin/snapshot.cgi?loginuse=[USERNAME]&loginpas=[PASSWORD]
3svision,*,JPEG,http,0,/cgi-bin/snapshot.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
3svision,*,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
3svision,*,JPEG,http,0,/cgi-bin/video.jpg
3svision,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]
3svision,*,MJPEG,http,0,/GetData.cgi
3svision,*,VLC,http,0,/cgi-bin/view.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
3svision,*,VLC,rtsp,0,/cam1/mpeg4
3svision,*,VLC,rtsp,0,/cam2/mpeg4
3svision,*,VLC,rtsp,0,/cam3/mpeg4
3svision,*,VLC,rtsp,0,/cam4/mpeg4
3svision,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]x[HEIGHT]
3svision,*,JPEG,http,0,/current[CHANNEL].jpg
3svision,*,MJPEG,http,0,/videofeed
3com,ex11402-wifi,JPEG,http,0,/img/snapshot.cgi?size=2
3com,rc8221,JPEG,http,0,/img/snapshot.cgi?size=2
3com,xhci-se,JPEG,http,0,/img/snapshot.cgi?size=2
3com,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]*[HEIGHT]
3com,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
3com,unknown,JPEG,http,0,/goform/video2
3com,*,MJPEG,http,0,/mjpeg.cgi?user=[USERNAME]&password=[PASSWORD]&channel=[CHANNEL]
3com,*,FFMPEG,http,0,/videostream.asf?usr=[USERNAME]&pwd=[PASSWORD]
3com,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
3com,*,JPEG,http,0,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]&strm=[CHANNEL]
3com,*,JPEG,http,0,/jpg/image.jpg?size=3
3com,*,JPEG,http,0,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]
3com,*,JPEG,http,0,/cgi-bin/net_jpeg.cgi?ch=[CHANNEL]
3com,*,MJPEG,http,0,/video?submenu=mjpg
3com,*,VLC,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]
3com,*,JPEG,http,0,/img/snapshot.cgi?size=3
3com,*,JPEG,http,0,/cgi-bin/snapshot.cgi?loginuse=[USERNAME]&loginpas=[PASSWORD]
3r,unknown,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=64&rate=0
3r,*,VLC,rtsp,0,/cam[CHANNEL]/h264
3r,*,VLC,http,0,/ipcam/avc.cgi?audiostream=[CHANNEL]
3r,prestige-dvr,JPEG,http,0,/current[CHANNEL].jpg
3r,*,JPEG,http,0,/image/[CHANNEL].jpg
3r,*,VLC,http,0,/control/faststream.jpg?stream=MxPEG&needlength&fps=6
307 Hi Silicon,101,JPEG,http,0,/snapshot.jpg
307 Hi Silicon,318e,FFMPEG,rtsp,0,/user=[USERNAME]&password=[PASSWORD]&channel=1&stream=0.sdp?
307 Hi Silicon,unknown,FFMPEG,rtsp,0,/0
307 Hi Silicon,*,FFMPEG,rtsp,0,/11
3eyes3,e-2100m,FFMPEG,rtsp,5544,/11
4xem,ip3112,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,ipcamw45,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,pt3114,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,pz6114,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,w50,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,wlptg,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,wlpts,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,wlptz,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,wpt,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,wptz,JPEG,http,0,/cgi-bin/video.jpg?size=2
4xem,*,MJPEG,http,0,/videofeed
4xem,*,JPEG,http,0,/cgi-bin/snapshot.cgi?1
4xem,kx,VLC,rtsp,0,/live.sdp
4xem,w45,VLC,rtsp,0,/live.sdp
4xem,*,JPEG,http,0,/snapshot.jpg?user=[USERNAME]&pwd=[PASSWORD]
4xem,*,JPEG,http,0,/cgi-bin/video.jpg
4xem,unknown,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
4xem,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]x[HEIGHT]
4xem,*,JPEG,http,0,/cgi-bin/snapshot.cgi?loginuse=[USERNAME]&loginpas=[PASSWORD]
4xem,*,JPEG,http,0,/cgi-bin/net_jpeg.cgi?ch=[CHANNEL]
4xem,*,MJPEG,http,0,/cgi-bin/video.jpg?cam=[CHANNEL]&quality=3&size=2
4xem,*,MJPEG,http,0,/video.cgi?resolution=VGA
4xem,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
4xem,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32
4xem,*,VLC,http,0,/cgi-bin/view.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
4xem,*,FFMPEG,http,80,/cgi-bin/video.jpg?cam=0&quality=3&size=2
4xem,*,JPEG,http,0,/cgi-bin/snapshot.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
4ucam,eyes-dvr,MJPEG,http,0,/cgi-bin/Stream?Video?Acc=[USERNAME]?Pwd=[PASSWORD]?webcamPWD=UserCookie00000
4ucam,*,JPEG,http,0,/cgi-bin/snapshot.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
4ucam,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=64&rate=0
4ucam,unknown,JPEG,http,0,/shot.jpg
4ucam,*,MJPEG,http,0,/video.cgi?resolution=VGA
4ucam,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]x[HEIGHT]
4ucam,*,FFMPEG,http,0,/videostream.asf
4ucam,*,FFMPEG,rtsp,0,/cam/realmonitor
4ucam,*,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
4ucam,*,FFMPEG,http,0,/stream.asf
4ucam,*,JPEG,http,0,/cgi-bin/guest/Video.cgi?media=JPEG&channel=[CHANNEL]
4ucam,*,JPEG,http,0,/cgi-bin/net_jpeg.cgi?ch=[CHANNEL]
4ucam,*,JPEG,http,0,/cgi-bin/snapshot.cgi?1
4ucam,*,JPEG,http,0,/img/snapshot.cgi?size=2
4ucam,*,JPEG,http,0,/capture[CHANNEL].jpg
4ucam,*,JPEG,http,0,/loginfree.jpg
4ucam,*,MJPEG,http,0,/cgi-bin/video.jpg?cam=[CHANNEL]&quality=3&size=2
4ucam,*,MJPEG,http,0,/videostream.cgi
4ucam,*,VLC,rtsp,0,/ch0_0.h264
4ucam,*,MJPEG,http,0,/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]&resolution=32&rate=0
4ucam,*,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
4sdot,4331911061,JPEG,http,0,/tmpfs/auto.jpg
4sdot,4s-b05w-720p,JPEG,http,0,/tmpfs/auto.jpg
4sdot,b05w-720,JPEG,http,0,/tmpfs/auto.jpg
4sdot,b05w-720p,JPEG,http,0,/snap.jpg?JpegCam=[CHANNEL]
4sdot,b07bw-1080p-hx,FFMPEG,rtsp,0,/11
4sdot,unknown,FFMPEG,rtsp,0,/11
4sdot,*,FFMPEG,rtsp,554,/1
4sdot,*,FFMPEG,rtsp,0,/live/av0
4sdot,pw638k,MJPEG,http,81,/videostream.cgi
4mp Ip Camera,47680146,FFMPEG,rtsp,5544,/11
4mp Ip Camera,g-240,JPEG,http,0,/cgi-bin/snapshot.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
4mp Ip Camera,g42,JPEG,http,0,/cgi-bin/snapshot.cgi?chn=[CHANNEL]&u=[USERNAME]&p=[PASSWORD]
4mp Ip Camera,id002a,VLC,http,81,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]
4mp Ip Camera,ipb8224,VLC,http,81,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]
4mp Ip Camera,ipc-2mpvd28w,FFMPEG,rtsp,0,/h264_stream
4mp Ip Camera,*,FFMPEG,http,80,/?action=stream
4mp Ip Camera,unknown,MJPEG,http,0,/VIDEO.CGI
4mp Ip Camera,*,FFMPEG,rtsp,0,/onvif-stream2
4mp Ip Camera,*,FFMPEG,http,8090,/video.mjpg?q=30&fps=33&id=0.5
4xptz,30x,FFMPEG,rtsp,0,/live_mpeg4.sdp
4xptz,m400,FFMPEG,rtsp,0,/stream0
4er,unknown,FFMPEG,rtsp,0,/live/av0
5mpbullet,unknown,FFMPEG,rtsp,0,/Onvif/live/1/1
7links,3628-675,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]*[HEIGHT]
7links,px-3615-675,FFMPEG,http,0,/videostream.asf?user=[USERNAME]&pwd=[PASSWORD]&resolution=[WIDTH]*[HEIGHT]
7links,3655,FFMPEG,http,0,/videostream.asf
7links,3786-675,FFMPEG,http,0,/videostream.asf
7links,ipc-440hd,FFMPEG,http,0,/videostream.asf
7links,ipc-710ir,FFMPEG,http,0,/videostream.asf
7links,px3309,FFMPEG,http,0,/videostream.asf
7links,px3615,FFMPEG,http,0,/videostream.asf
7links,px-3628-675,FFMPEG,http,0,/videostream.asf
7links,px-3671-675-lhl,FFMPEG,http,0,/videostream.asf
7links,px-3688-675,FFMPEG,http,0,/videostream.asf
7links,px-3722-675,FFMPEG,http,0,/videostream.asf
7links,px3744,FFMPEG,http,0,/videostream.asf
7links,ipc-720,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
7links,px-3675,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
7links,px-3615,JPEG,http,0,/snapshot.cgi?user=[USERNAME]&pwd=[PASSWORD]
7links,ipc-380,FFMPEG,rtsp,0,/live/ch0
7links,ipc-720-hd,FFMPEG,rtsp,0,/live/ch0
7links,ipc-800-fhd,FFMPEG,rtsp,0,/live/ch0
7links,ipc900-ptz,FFMPEG,rtsp,0,/live/ch0
7links,nx4275,FFMPEG,rtsp,0,/live/ch0
7links,nx-4284-675,FFMPEG,rtsp,0,/live/ch0
7links,px-3755,FFMPEG,rtsp,0,/live/ch0
7links,3671,MJPEG,http,0,/cgi-bin/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]
7links,3677,MJPEG,http,0,/cgi-bin/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]
7links,3677-675,MJPEG,http,0,/cgi-bin/videostream.cgi?user=[USERNAME]&pwd=[PASSWORD]
